# Source: 2010 year from 2012 edition of IEA energy balances
# Composite regions (Other Africa, Other Latin America, Other Asia) downscaled to the countries on the basis of population
# Middle East nations rail energy re-set from 0 to values shown assuming 2 tonnes of fuel per km of rail per year
iso,FLOW,PRODUCT,value
aze,RAIL,Total of all energy sources,40
aze,DOMESNAV,Total of all energy sources,74
blr,MARBUNK,Total of all energy sources,0
blr,AVBUNK,Total of all energy sources,0
blr,ROAD,Total of all energy sources,2065
blr,RAIL,Total of all energy sources,253
blr,DOMESNAV,Total of all energy sources,0
bih,AVBUNK,Total of all energy sources,5
bih,ROAD,Total of all energy sources,1069
bih,RAIL,Total of all energy sources,0
hrv,MARBUNK,Total of all energy sources,7
hrv,AVBUNK,Total of all energy sources,56
hrv,DOMESAIR,Total of all energy sources,54
hrv,ROAD,Total of all energy sources,1871
hrv,RAIL,Total of all energy sources,50
hrv,DOMESNAV,Total of all energy sources,38
geo,MARBUNK,Total of all energy sources,0
geo,AVBUNK,Total of all energy sources,41
geo,ROAD,Total of all energy sources,684
geo,RAIL,Total of all energy sources,55
geo,DOMESNAV,Total of all energy sources,0
kaz,MARBUNK,Total of all energy sources,0
kaz,AVBUNK,Total of all energy sources,84
kaz,DOMESAIR,Total of all energy sources,140
kaz,ROAD,Total of all energy sources,4088
kaz,RAIL,Total of all energy sources,251
kaz,DOMESNAV,Total of all energy sources,18
srb,AVBUNK,Total of all energy sources,1
srb,ROAD,Total of all energy sources,318
srb,RAIL,Total of all energy sources,1
kgz,MARBUNK,Total of all energy sources,0
kgz,AVBUNK,Total of all energy sources,412
kgz,DOMESAIR,Total of all energy sources,0
kgz,ROAD,Total of all energy sources,870
kgz,RAIL,Total of all energy sources,4
kgz,DOMESNAV,Total of all energy sources,0
lva,MARBUNK,Total of all energy sources,251
lva,AVBUNK,Total of all energy sources,118
lva,DOMESAIR,Total of all energy sources,0
lva,ROAD,Total of all energy sources,999
lva,RAIL,Total of all energy sources,70
lva,DOMESNAV,Total of all energy sources,7
ltu,MARBUNK,Total of all energy sources,139
ltu,AVBUNK,Total of all energy sources,48
ltu,DOMESAIR,Total of all energy sources,0
ltu,ROAD,Total of all energy sources,1406
ltu,RAIL,Total of all energy sources,62
ltu,DOMESNAV,Total of all energy sources,6
mkd,AVBUNK,Total of all energy sources,7
mkd,ROAD,Total of all energy sources,447
mkd,RAIL,Total of all energy sources,6
mda,MARBUNK,Total of all energy sources,0
mda,AVBUNK,Total of all energy sources,13
mda,ROAD,Total of all energy sources,319
mda,RAIL,Total of all energy sources,14
mda,DOMESNAV,Total of all energy sources,0
mne,AVBUNK,Total of all energy sources,2
mne,ROAD,Total of all energy sources,0
mne,RAIL,Total of all energy sources,2
rus,MARBUNK,Total of all energy sources,1532
